Date,Duration (Hours),Number of Customers Affected,Restoration Time,Quick Response,City_Addis Ababa,City_Bahir Dar,City_Dire Dawa,City_Harer,City_Hawassa,City_Mojo,Cause_Accident,Cause_Equipment Failure,Cause_Maintenance,Affected Area_Addis Center,Affected Area_Addis East1,Affected Area_Addis East2,Affected Area_Addis North,Affected Area_Addis West,Affected Area_Average interruption per year/line    ,Affected Area_Bahir Dar East,Affected Area_Bahir Dar West,Affected Area_Bedesa,Affected Area_Bole Lemi,Affected Area_DUKEM,Affected Area_Dire Dawa Substation 1,Affected Area_F1,Affected Area_F2,Affected Area_F3,Affected Area_F4,Affected Area_F5,Affected Area_F5 ,Affected Area_F6,Affected Area_Fedis,Affected Area_Gefersa,Affected Area_Gelan,Affected Area_Gofa,Affected Area_Harer No 3,Affected Area_Harer Water,Affected Area_Hawassa Main,Affected Area_Hawassa South,Affected Area_Kality 1,Affected Area_Kality 2,Affected Area_Kality North,Affected Area_Kotebe A,Affected Area_Kotebe B,Affected Area_Legetafo,Affected Area_Line 1,Affected Area_Line 2,Affected Area_Line 3,Affected Area_Line 4,Affected Area_Line1,Affected Area_Mekanisa,Affected Area_Mojo Central,Affected Area_Mojo Industrial,Affected Area_Nifas Silk,Affected Area_Outage per line ,Affected Area_PT,Affected Area_Sebeta 1,Affected Area_Sebeta 2,Affected Area_Substation name,Affected Area_Sululta,Affected Area_Sululta 33,Affected Area_TL,Affected Area_TOTAL,Affected Area_Total No oflines,Affected Area_Weregenu,Cluster_Labels
2020-11-01,-0.4225340529116214,-0.996329353144111,2020-11-01 05:07:00,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017-02-24,1.570145754203744,-1.1451604165571694,2017-02-24 11:27:00,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018-08-26,0.8126759852529505,2.4717805431322737,2018-08-26 09:03:00,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2018-05-04,0.3537938845607684,-0.7678909767426725,2018-05-04 07:35:00,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-06-01,-1.176860793775482,-1.1832334792907424,2021-06-01 02:42:00,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-01-21,-1.176860793775482,-1.2351512921092511,2021-01-21 02:42:00,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2022-05-08,-1.5163078271642196,2.3160271046767478,2022-05-08 01:38:00,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2017-07-10,1.2778441421189974,0.0489492782685318,2017-07-10 10:31:00,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2019-07-14,0.360079940734634,-0.3456260991521346,2019-07-14 07:36:00,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017-03-07,0.7309572549926985,-0.2417904735151171,2017-03-07 08:47:00,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
